timestamp,side,priceUsd,inputMint,outputMint,amountAtomic,amountInput,amountUsd,slippageBps,mode,sizeValue,signature,status,error
2025-11-06T14:56:15.680Z,BUY,157.948630,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,0.2,,skipped,size=0
2025-11-06T14:56:16.280Z,BUY,157.929295,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,0.2,,skipped,size=0
2025-11-06T14:56:20.927Z,BUY,157.979908,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16442064,16.442064000,16.442064,50,0.2,2A2EFdydTM5dYELe5mYPh8Mh5jZ9tpHzbDzuzNfsAhiAX1RL9EdR81vipS4KnKv7PamsKimiT4tSBXqyJYeKGbnp,submitted,
2025-11-06T14:56:20.930Z,BUY,157.998760,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16442263,16.442263000,16.442263,50,0.2,4mUThF5wpKggyjdWrMQXvkxySyH9Wf8nthKRL4BCZjBc1KB13h7TKiWd3r3sMCaGTigLz4WtFvk4knswTHAEQgeb,submitted,
2025-11-06T14:56:50.099Z,SELL,157.972007,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,104069030,0.104069030,16.439994,50,0.2,31r1gYUN7jRGjc91QMuzb32cDzpAZnoCPzXH1FDaCYAwoXDWYBBFtf56MS1iPf7cwr8TJNidf2QPfEkJBFbCcyre,submitted,
2025-11-06T14:56:54.715Z,SELL,157.993000,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,104055326,0.104055326,16.440013,50,0.2,5z8MwnP2r4mkLcUQF7TeW57LE5tXwoz7TEmHy7S8DCA2EKoxWHeu4d9ZCDNtAG4MNFyKKWTfTFC5J6CNyWeNwQ8K,submitted,
2025-11-06T14:57:13.219Z,BUY,157.741343,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,0.2,,skipped,size=0
2025-11-06T14:58:28.848Z,BUY,157.443932,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16420377,16.420377000,16.420377,50,0.2,,failed,Transaction too large: 1281 > 1232
2025-11-06T14:58:37.030Z,BUY,157.445203,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,0.2,,skipped,size=0
2025-11-06T14:58:41.196Z,BUY,157.504391,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16423534,16.423534000,16.423534,50,0.2,5mAT5oVWcnctgvdMPNFapocLpTxdfvsbGym5NMMsL8p7LdqAQYJbjqF74fFuu6KzuzJLEQ6kBhRJW49oDD1aZ9uF,submitted,
2025-11-06T14:59:10.764Z,SELL,157.600000,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,104224686,0.104224686,16.425811,50,0.2,,failed,Simulation failed. Message: Transaction simulation failed: Error processing Instruction 5: Program failed to complete.
